#"Step","Potential Energy (kJ/mole)","Temperature (K)"
5000,-76808.12024363587,320.0078302414062
10000,-77029.85071238587,309.910820273704
15000,-77461.51086863587,311.3329864360699
20000,-77603.55774363587,305.9908968989483
25000,-77947.49524363587,301.94519019299486
30000,-77729.10852488587,313.30341265287836
35000,-77893.80383738587,312.5691279687541
40000,-77832.93274363587,318.43235119534506
45000,-77872.36633738587,311.06162118831884
50000,-77957.30383738587,313.4891953076835
55000,-77914.51477488587,317.07923249711945
60000,-77771.55383738587,315.7920159522569
65000,-78047.24133738587,310.2857559795437
70000,-78476.90930613587,318.19054205068915
75000,-78393.67102488587,310.15793259720607
80000,-78646.10852488587,317.11441888453004
85000,-78203.89758738587,311.996287189202
90000,-77797.68664988587,308.14214696418617
95000,-78156.70227488587,312.14585267909575
100000,-78243.06946238587,309.4967063761371
105000,-78324.88977488587,309.35742438446925
110000,-78211.79993113587,307.72248130783396
115000,-78176.06164988587,314.68416048834246
120000,-78309.37024363587,312.1202540526831
125000,-78593.37805613587,311.26513358867027
130000,-77768.21789988587,308.4185410889199
135000,-78252.74524363587,314.8490257445409
140000,-77440.64758738587,310.5481629551476
145000,-78295.11633738587,307.6228014294177
150000,-78419.77649363587,314.31106688331056
155000,-78316.91711863587,310.5222249575164
160000,-77969.27649363587,305.09292675237765
165000,-78074.64368113587,312.4845010803834
170000,-78508.15149363587,307.3829831044563
175000,-77933.92883738587,317.0974338139324
180000,-78870.53821238587,320.78972449010513
185000,-78067.16321238587,313.6730122361247
190000,-77975.91321238587,306.68798601839836
195000,-78149.09289988587,313.41916414466186
200000,-78353.34289988587,311.64502254060795
205000,-77778.59289988587,316.0421429198488
210000,-78295.75696238587,315.75835638936223
215000,-78336.21008738587,313.14893797568004
220000,-78419.46789988587,313.89058148170284
225000,-78534.28821238587,307.6399793007826
230000,-78048.23352488587,310.5866180040408
235000,-78193.43664988587,314.4140224518059
240000,-78476.39758738587,310.89586213403317
245000,-78500.77258738587,309.22687702922445
250000,-78693.33508738587,314.311363543518
255000,-78431.68664988587,316.3210287527948
260000,-78364.90539988587,319.00814600180917
265000,-78190.22180613587,314.87356588359864
270000,-78072.46789988587,318.05621588548075
275000,-78014.24524363587,317.0157375119395
280000,-78143.24133738587,311.96673329097445
285000,-78410.52258738587,313.9909854447309
290000,-78470.71008738587,319.59537246989356
295000,-78746.25696238587,314.92012874238617
300000,-78381.02258738587,314.8575942132245
305000,-78966.57727488587,309.3274601859069
310000,-78253.36633738587,315.7128361405203
315000,-78886.23352488587,311.67731635367346
