#"Step","Potential Energy (kJ/mole)","Temperature (K)"
5000,-76417.96300547765,311.393419014556
10000,-76470.61144297765,310.5671267480278
15000,-76971.02159922765,308.0132711391501
20000,-77106.24034922765,310.3344009360629
25000,-77336.35363047765,312.7885672615593
30000,-77117.86144297765,311.1621851659078
35000,-77180.44347422765,312.2572645078349
40000,-77028.96300547765,318.87917976426087
45000,-77470.25206797765,309.11453928255355
50000,-77004.07628672765,311.22939659345474
55000,-77280.62316172765,313.928285518823
60000,-77201.45128672765,314.69851857857407
65000,-77065.56847422765,313.0715657267997
70000,-77145.73253672765,314.9840325990159
75000,-77386.95909922765,312.660579022876
80000,-77668.20519297765,311.04300319483946
85000,-77319.86925547765,313.5023545291431
90000,-77791.73644297765,314.34779740198155
95000,-77340.14269297765,311.6933479486342
100000,-77523.63097422765,311.7723948867041
105000,-77387.40050547765,312.45537328648976
110000,-76863.10363047765,323.4768144216571
115000,-77103.31456797765,317.00509198934196
120000,-77370.58800547765,310.2234826076591
125000,-77445.00206797765,315.3279136514332
130000,-77462.24034922765,309.9719436274635
135000,-77974.59191172765,306.49625301135967
140000,-77523.02550547765,313.48011377678864
145000,-77380.77550547765,306.0657846305301
150000,-77946.08019297765,324.2469372357211
155000,-77189.75988047765,309.39720647403124
160000,-77957.01769297765,313.1839295765984
165000,-77684.97863047765,314.79252892697133
170000,-77496.75988047765,311.6021161496843
175000,-77621.18175547765,308.50379596516984
180000,-77581.23644297765,317.73195967626856
185000,-77195.00206797765,320.33650278036947
190000,-78007.51769297765,316.7347439715298
195000,-77762.14659922765,316.14984183225647
200000,-77514.94738047765,316.2568135282668
205000,-77663.00988047765,317.42627493963437
210000,-77441.68956797765,316.41384070974294
215000,-77446.69738047765,314.29466983111655
220000,-77811.63097422765,316.72952876992
225000,-77520.77550547765,315.0342643644761
230000,-77785.59581797765,311.282637869499
235000,-77262.58800547765,306.3017719332911
240000,-77724.68956797765,316.25206987703007
245000,-78023.66613047765,315.78464621280335
250000,-77821.72863047765,313.0591543331568
255000,-77886.28722422765,316.1730160669216
260000,-77592.18956797765,316.46406400819524
265000,-77770.16613047765,313.2147270559307
270000,-78223.24425547765,313.84024586244306
275000,-78057.17394297765,308.5002206214279
280000,-77767.91613047765,307.3597679134635
285000,-77776.16613047765,311.5809739259845
290000,-77500.82238047765,318.0517469986495
295000,-77607.47863047765,308.2362799533916
300000,-77886.00597422765,322.5341383121242
305000,-77700.15831797765,312.9623998999273
310000,-77742.07238047765,315.88785469224337
315000,-77818.48253672765,311.816526879659
320000,-78180.45128672765,307.8311392276585
325000,-77997.69347422765,311.276187706855
330000,-77837.13488047765,317.45359370592763
335000,-78130.50206797765,312.69546472585097
340000,-78227.30284922765,312.7036483723959
345000,-77596.79113047765,311.62534710385387
350000,-77650.65441172765,319.2795708060912
355000,-77856.34581797765,316.36453940706883
360000,-78140.08019297765,316.3134608040245
365000,-78091.54113047765,315.45278375472975
370000,-77441.51769297765,315.0164210907521
375000,-77661.36925547765,314.7035317220855
380000,-77763.34972422765,313.74235885037194
385000,-77767.50206797765,316.42707727226673
390000,-78457.25206797765,316.40073497056443
395000,-77931.42394297765,306.75933080488886
400000,-77622.34972422765,314.12015366183954
405000,-77666.77550547765,308.80918463019964
410000,-78121.79113047765,311.10284289851376
415000,-78175.95909922765,315.5084648616167
420000,-77926.94738047765,313.9793885845903
425000,-77822.08409922765,311.37067264419994
430000,-77829.90050547765,307.45889963630344
435000,-77310.68956797765,309.604814858757
440000,-78171.51769297765,317.2643680506567
445000,-78556.92394297765,318.2368835407586
450000,-78243.83800547765,311.9380116043361
455000,-77577.68566172765,312.5983363026569
